#{"t_start": 1733943896.3583431, "env_id": null}
r,l,t
107.75,161,4567.110899
105.85,117,4568.626387
39.9,1200,4585.065093
3.7,1200,4601.373084
143.3,1063,4615.881344
111.65,233,4618.85119
12.65,1200,4635.211147
42.55,1200,4651.936988
14.3,1200,4667.948336
124.95,563,4675.529082
100.05,1,4675.544119
134.1,897,4687.526973
103.85,78,4688.491638
117.7,358,4693.847188
40.45,1200,4710.413206
119.65,398,4715.616754
106.45,155,4717.742295
3.65,1200,4734.244651
112.6,255,4737.477064
33.95,1200,4753.889958
115.25,306,4758.172942
119.3,483,4764.460719
103.7,74,4765.373818
107.3,149,4767.209555
15.75,1200,4783.4697
37.75,1200,4799.735232
19.35,1200,4816.049374
45.25,1200,4832.468601
118.8,382,4837.941958
119.35,393,4843.261846
103.75,75,4844.208426
112.1,245,4847.272923
112.6,377,4852.46458
126.05,659,4861.426893
2.9,1200,4877.650645
15.2,1200,4893.837204
105.95,122,4895.435523
32.95,1200,4911.891786
112.35,247,4915.38849
107.15,146,4917.677409
121.4,432,4923.509974
3.05,1200,4939.735879
11.0,1200,4955.496388
100.75,15,4955.684455
105.3,107,4957.031673
32.15,1200,4973.343825
34.65,1200,4989.703016
113.05,359,4994.648541
108.15,163,4997.107158
102.5,50,4997.882722
47.85,1200,5014.184997
110.15,208,5016.904031
17.35,1200,5033.406818
29.3,1200,5049.891057
15.2,1200,5066.134953
30.4,1200,5084.443898
23.65,1200,5100.550244
107.95,159,5102.682798
33.95,1200,5118.979059
15.35,1200,5135.318438
105.8,116,5136.807157
119.35,391,5142.629334
-995.5,272,5146.188712
105.35,107,5147.555547
21.25,1200,5164.088655
106.6,134,5165.917164
118.05,649,5174.989575
25.6,1200,5191.107542
107.6,214,5193.906858
28.6,1200,5210.247637
27.35,1200,5226.212509
-995.3,260,5229.565921
-993.8,1119,5244.611168
115.15,308,5248.76971
131.6,1057,5263.217298
38.05,1200,5279.591392
100.05,1,5279.603925
106.05,121,5281.133488
-999.8,838,5292.870049
107.8,157,5294.878997
24.45,1200,5311.282982
35.6,1200,5327.449301
33.1,1200,5343.627204
39.55,1200,5360.246633
108.2,174,5362.512421
12.7,1200,5378.692152
25.5,1200,5395.166917
35.45,1200,5411.460068
111.05,222,5414.796957
30.6,1200,5431.111635
104.75,106,5432.462478
37.7,1200,5448.874211
16.0,1200,5465.278197
26.35,1200,5481.682473
13.9,1200,5497.963359
116.6,334,5502.340684
9.9,1200,5518.820077
19.95,1200,5535.326505
-990.85,1168,5551.082486
-994.55,886,5563.609367
109.2,482,5569.932682
30.6,1200,5586.367368
-994.4,977,5599.913159
108.7,193,5602.37425
107.05,144,5604.421867
109.35,341,5609.386756
111.55,423,5614.948145
106.7,134,5616.657185
116.15,353,5621.674134
104.7,94,5623.045203
40.3,1200,5639.339638
107.4,152,5641.321418
30.9,1200,5657.581518
112.6,257,5660.910321
22.35,1200,5677.185366
109.25,195,5679.854065
8.5,1200,5696.271822
18.1,1200,5712.779377
110.2,206,5715.426939
30.65,1200,5731.883974
15.2,1200,5748.150591
102.85,58,5749.045609
107.35,147,5751.299529
26.3,1200,5768.960372
119.85,429,5774.574604
137.45,1100,5789.776589
26.4,1200,5806.158273
27.3,1200,5822.349553
31.0,1200,5838.698119
103.95,79,5839.790738
